Customer: 42, Date: 2012-11-19 
Customer: 67, Date: 2011-12-24 
Customer: 38, Date: 2013-03-23 
Customer: 98, Date: 2013-07-05 
Customer: 51, Date: 2014-07-24 
Customer: 80, Date: 2014-05-04 
Customer: 81, Date: 2014-01-15 
Customer: 65, Date: 2013-03-21 
Customer: 38, Date: 2013-10-24 
Customer: 55, Date: 2012-10-01 
Customer: 69, Date: 2011-12-05 
Customer: 69, Date: 2012-06-02 
Customer: 4, Date: 2012-05-27 
Customer: 93, Date: 2012-01-01 
Customer: 13, Date: 2012-07-12 
Customer: 78, Date: 2014-02-15 
